title,id,tags,url,author,description,group,place,location,state,license,author_url,created,lastmodified,metadatamodified
"Ann Arbor, Michigan",a2gov_org,ctic,http://www.a2gov.org/data/Pages/default.aspx,City of Ann Arbor,City of Ann Arbor's Open Data Catalog (USA),unitedstates,"Ann Arbor, Michigan","42.2775627974,-83.7408828735",active,,,2011-06-27T18:12:57.439Z,2012-12-18T06:24:03.092Z,2012-12-18T06:24:02.918Z
Alabama,alabama,ctic,http://open.alabama.gov/,,Open Alabama Initiative,unitedstates,State of Alabama,"32.7504062,-86.7502625",active,,,2011-06-27T18:14:45.618Z,2012-08-13T13:01:24.741Z,2012-05-23T09:51:32.015Z
Open Data Albania,albania,ctic,http://open.data.al/,ShqiperiaCom Shpk / OSI / OSFA,Albania Open Data Catalog,,Albania,"41,20",active,OSI Approved::GNU General Public License (GPL),,2011-06-27T18:14:47.743Z,2012-11-19T13:19:50.76Z,2012-11-19T13:19:50.579Z
Alkmaar - Open Data,alkmaar_nl,level.local,http://www.alkmaar.nl/opendata,,,eu-official,Alkmaar city,",,",active,"OSI Approved::Educational Community License, Version 2.0",,2012-06-21T05:57:20.26Z,2012-10-19T12:43:14.635Z,2012-10-19T12:43:14.445Z
Allerdale Open Data,allerdale,,http://www.allerdale.gov.uk/default.aspx?Page=2288,Allerdale Borough Council,Official borough data.,unitedkingdom,Allerdale,"54.7087988626,-3.28016784955",active,OKD Compliant::UK Open Government Licence (OGL),,2011-11-02T23:12:04.913Z,2012-11-20T17:46:03.913Z,2012-11-20T17:46:03.703Z
Open GEO-Data Amsterdam,amsterdam_geo_data,geodata level.local thematic,http://www.gisdro.nl/open_geodata/,City of Amsterdam Planning Department,Open geographic data from the City of Amsterdam Planning Dept.,eu-official netherlands,Amsterdam,"52.3740272046,4.88968849182",active,,,2012-06-21T06:04:49.695Z,2013-01-09T10:41:10.195Z,2013-01-09T10:41:09.539Z
Andalusia data portal,andalusia-data-portal,level.regional,http://www.juntadeandalucia.es/datosabiertos/portal.html,Regional Government of Andalusia,Regional government data portal by the government of Andalusia.,eu-official spain,"Andalusia, Spain","37.8852862723,-4.77682113647",active,OKD Compliant::Creative Commons Attribution,,2011-12-22T19:59:12.613Z,2012-11-10T00:04:55.165Z,2012-11-10T00:04:54.952Z
Proyecto Aporta - Spanish Public Data Catalogue,aporta_es,ctic level.national,http://www.aporta.es/web/guest/buscador_de_catalogos,,Aporta project. Spanish Public Data Catalogue,eu-official spain,Kingdom of Spain,"40,-4",active,OSI Approved::IBM Public License,,2011-06-27T18:15:36.259Z,2012-11-01T12:20:42.155Z,2012-11-01T12:20:41.925Z
"Arvada, Colorado",arvada,ctic,http://arvada.org/opendata,City of Arvada,Arvada's OpenData Catalog (US),unitedstates,"Arvada, Colorado","39.8027644,-105.0874842",active,,,2011-06-27T18:12:32.977Z,2012-08-13T13:01:25.907Z,2012-05-10T04:56:08.915Z
Asturias Public Data,asturias_es,ctic level.regional,http://risp.asturias.es,Asturias Regional Government,Asturias Public Data catalogue...,eu-official spain,Asturias,"43.3333333,-6",active,OKD Compliant::Creative Commons Attribution,,2011-06-27T18:12:34.922Z,2012-08-13T13:01:26.038Z,2012-06-21T08:14:51.658Z
Vorarlberg,at-vorarlberg,level.regional,http://data.vorarlberg.gv.at/,Vorarlberg government,Datacatalog for the Austrian federal state Vorarlberg. Launched May 2012.,eu-official,Vorarlberg,"47.25,9.9166667",active,OKD Compliant::Creative Commons Attribution,,2012-06-14T10:37:28.76Z,2012-11-20T13:23:12.575Z,2012-11-20T13:23:12.166Z
Badalona Open Data,badalona_cat,ctic level.local,http://badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=opendata,,Badalona Open Data Catalog,eu-official spain,Badalona,"41.4500446632,2.24741220474",active,OKD Compliant::Creative Commons Attribution,,2011-06-27T18:12:38.942Z,2012-08-13T13:01:26.439Z,2012-06-21T07:43:46.849Z
Open Data Platform of the Kingdom of Bahrain,bahrain,ctic,http://www.bahrain.bh/wps/portal/data/,,The open Data Platform is an important initiative for the Kingdom of Bahrain as it aims to implement a public data hub and a strategy for open data to enable transparency and promote eParticipation.,,Bahrain,"26,50.5",active,,,2011-06-27T18:15:04.926Z,2012-08-13T13:01:26.615Z,2011-12-19T22:53:16.608Z
OpenData BCN,bcn_cat,ctic level.local,http://www.bcn.cat/opendata/,Barcelona's City Council,Barcelona Public Open Data Catalogue,eu-official spain,Barcelona,"41.3887868891,2.15898513794",active,OKD Compliant::Creative Commons Attribution,,2011-06-27T18:15:19.321Z,2012-08-13T13:01:26.753Z,2012-06-14T09:25:59.549Z
Berlin Open Data,berlin-open-data,berlin city deutschland germany level.local,http://daten.berlin.de/,"Berliner Senatsverwaltung für Wirtschaft, Technologie und Frauen","Official open data catalog of the Senate of Berlin. It was launched in September 2011. As of October 2011, it lists 21 datasets and 8 applications.

The catalog [is built](http://lists.okfn.org/pipermail/ckan-discuss/2011-September/001703.html) using the [CKAN software](http://ckan.org/).

The catalog itself is licensed under Open Data Commons Attribution
([ODC-BY](http://opendatacommons.org/licenses/by/)). It can be queried through the CKAN API of package:offenedaten, using the [group berlin](http://offenedaten.de/group/berlin).

Most datasets are licensed under Creative Commons Attribution (CC-BY).",ckan publicdata-eu eu-official germany,Berlin,"52.5243681651,13.4105300903",active,OKD Compliant::Other (Attribution),,2011-10-03T16:45:08.365Z,2013-01-09T21:58:46Z,2012-06-21T07:43:32.093Z
Birmingham Open Data,birmingham-uk,level.local,http://www.birmingham.gov.uk/open-data,Birmingham City Council,Official list of links by the council,eu-official unitedkingdom,"Birmingham (City), UK","52.4804802434,-1.89823150635",active,,,2011-11-02T22:58:23.463Z,2012-08-13T13:01:27.048Z,2012-06-21T06:23:38.945Z
Bologna Data Portal,bologna-dataportal,level.local,http://dati.comune.bologna.it/,City of Bologna,"Official open data portal for the City of Bologna, Italy. Launched April 2012, with 64 datasets (out of 500 planned, 200 by end of 2012)",eu-official italy,Bologna,"44.4938114812,11.3387489319",active,OKD Compliant::Creative Commons CCZero,,2012-04-06T11:34:00.775Z,2012-10-03T14:50:40.758Z,2012-10-03T14:50:39.98Z
Boston GIS Data Hub,boston-gis-data-hub,,http://hubmaps1.cityofboston.gov/datahub/,City of Boston,,unitedstates,"Boston, Massachusetts","42.3584308,-71.0597732",active,OSI Approved::CUA Office Public License Version 1.0,,2011-10-21T16:16:40.659Z,2012-11-21T22:18:56.483Z,2012-11-21T22:18:56.224Z
Bouche-Rhone / Provence data portal,bouche-rhone-visitprovence,level.regional thematic tourism,http://data.visitprovence.com/,Departement Bouche-Rhone,"Launched April 2012. Tourism oriented data sets only.

Two days after launch license was changed from not-open (NC/ND) to ODbL.",eu-official france,Bouche-Rhone (Provence),",,",active,OKD Compliant::Open Data Commons Open Database License (ODbL),,2012-04-02T16:21:39.336Z,2012-08-13T13:01:27.605Z,2012-06-21T06:27:06.485Z
